"Time","A (1)","C (1)","D (1)"
0.0,10.0,0.0,0.0
1.0,9.0,0.9516258199610571,0.04837418003894296
2.0,8.181269249,1.6401919727910226,0.17853877820897757
3.0,7.510949211,2.122000925806099,0.3670498631939013
4.0,6.962137586,2.4423291515017875,0.5955332624982126
5.0,6.512808633000001,2.6375038367582193,0.8496875302417808
6.0,6.144929203000001,2.736595725874085,1.1184750711259144
7.0,5.843735001000001,2.7627983901715454,1.3934666088284542
8.0,5.597138046000001,2.734551391325194,1.6683105626748056
9.0,5.395241536000002,2.6664543521920905,1.9383041118079094
10.0,5.229942655000002,2.5700103544211856,2.2000469905788145
11.0,5.094607379000002,2.4542300763181455,2.4511625446818552
12.0,4.983804227000002,2.326122345806479,2.6900734271935223
13.0,4.893086279000003,2.191092078978488,2.915821642021513
14.0,4.818812705000004,2.0532627500982965,3.1279245449017052
15.0,4.758002646000004,1.9157373875281571,3.326259966471845
16.0,4.708215581000005,1.780809527847017,3.5109748911529857
17.0,4.667453380000004,1.6501334580729257,3.6824131619270775
18.0,4.634080112000004,1.5248613610795498,3.8410585269204534
19.0,4.606756392000004,1.4057535742129474,3.9874900337870556
20.0,4.584385622000004,1.2932670367761747,4.122347341223828
21.0,4.566069985000004,1.187626039416266,4.246303975583737
22.0,4.5510744100000045,1.0888786554074628,4.36004693459254
23.0,4.538797072000005,0.9969415829130904,4.464261345086912
24.0,4.528745237000004,0.9116356335020059,4.559619129497996
25.0,4.520515491000004,0.8327136715585928,4.646770837441409
26.0,4.513777545000004,0.7598824918924304,4.726339963107571
27.0,4.508260981000005,0.6928198166866012,4.7989192023134
28.0,4.503744401000004,0.6311873882156657,4.865068210784337
29.0,4.500046538000005,0.5746409485369314,4.925312513463071
30.0,4.497018984000005,0.522837730709581,4.9801432852904215
31.0,4.494540233000005,0.47544198574209345,5.030017781257908
32.0,4.4925108030000045,0.4321289567768176,5.075360240223184
33.0,4.490849246000004,0.39258763003715386,5.116563123962847
34.0,4.489488878000004,0.3565225388169079,5.153988583183093
35.0,4.488375103000004,0.3236548305316252,5.187970066468375
36.0,4.487463221000004,0.2937227716396668,5.218814007360334
37.0,4.486716635000004,0.2664818248149929,5.246801540185007
38.0,4.486105382000004,0.2417044104492171,5.272190207550783
39.0,4.485604931000005,0.21917943676564997,5.295215632234351
40.0,4.485195196000005,0.19871167004934825,5.316093133950652
41.0,4.484859733000004,0.18012098970854937,5.335019277291451
42.0,4.484585080000004,0.16324157814388868,5.352173341856112
43.0,4.484360213000004,0.1479210773231579,5.367718709676843
44.0,4.484176107000004,0.13401972569787532,5.381804167302125
45.0,4.484025374000004,0.12140950397791574,5.394565122022084
46.0,4.483901964000005,0.10997330224400523,5.406124733755995
47.0,4.483800925000004,0.0996041101740181,5.416594964825982
48.0,4.483718201000004,0.09020424816764998,5.42607755083235
49.0,4.483650472000003,0.08168463167096739,5.434664896329032
50.0,4.483595020000003,0.07396408076746226,5.442440899232537
